run,dataset,k,s,update_type,seed,num_updates,hop_limit,speedup,speedup_rounded_for_paper,jaccard,jaccard_rounded_for_paper,qratio,qratio_rounded_for_paper,dyn_ms,static_ms,checkpoints,source_file
A1,dblp,3,10,insertion,42,1000,2,3477.892609,3478,1.000000,1.000,1.000000,1.000,0.120424,418.822582,33,results/A1.json
A2,dblp,3,10,deletion,42,1000,2,3341.814253,3342,0.362360,0.362,0.886833,0.887,0.138970,464.410915,33,results/A2.json
A3,dblp,3,10,mixed,42,1000,2,4409.868111,4410,0.614824,0.615,0.958582,0.959,0.100288,442.256315,33,results/A3.json
A7_s5,dblp,3,5,insertion,42,500,2,3915.678137,3916,1.000000,1.000,1.000000,1.000,0.107470,420.816742,33,results/A7_s5.json
A7_s10,dblp,3,10,insertion,42,500,2,3790.142149,3790,1.000000,1.000,0.999945,1.000,0.116436,441.310370,33,results/A7_s10.json
A7_s15,dblp,3,15,insertion,42,500,2,3995.019630,3995,1.000000,1.000,0.999858,1.000,0.105930,423.193639,33,results/A7_s15.json
A7_s20,dblp,3,20,insertion,42,500,2,3568.658677,3569,1.000000,1.000,1.003699,1.004,0.120112,428.639164,33,results/A7_s20.json
A8_k3,dblp,3,10,insertion,42,500,2,3846.736446,3847,1.000000,1.000,0.999945,1.000,0.110376,424.586448,33,results/A8_k3.json
A8_k4,dblp,4,10,insertion,42,500,2,3895.000435,3895,1.000000,1.000,0.999945,1.000,0.104988,408.927833,33,results/A8_k4.json
A8_k5,dblp,5,10,insertion,42,500,2,3816.169218,3816,1.000000,1.000,1.001119,1.001,0.113500,433.135206,33,results/A8_k5.json
A8_k6,dblp,6,10,insertion,42,500,2,3930.919086,3931,1.000000,1.000,1.000000,1.000,0.103403,406.468945,33,results/A8_k6.json
B1,dblp,3,10,insertion,42,1000,2,3684.090523,3684,1.000000,1.000,1.000000,1.000,0.118194,435.437173,33,results/B1.json
B2,dblp,3,10,deletion,42,1000,2,3221.276291,3221,0.362360,0.362,0.886833,0.887,0.130703,421.030570,33,results/B2.json
C1_full,dblp,3,10,insertion,42,500,2,3848.565904,3849,1.000000,1.000,0.999945,1.000,0.103464,398.186624,33,results/C1_full.json
C2_index_only,dblp,3,10,insertion,42,500,2,4003.718156,4004,1.000000,1.000,0.999945,1.000,0.099945,400.153433,33,results/C2_index_only.json
C3_no_index,dblp,3,10,insertion,42,500,2,3517.769683,3518,1.000000,1.000,0.999945,1.000,0.112018,394.054164,33,results/C3_no_index.json
C4_h1,dblp,3,10,insertion,42,500,2,4104.822556,4105,1.000000,1.000,0.999945,1.000,0.095900,393.652485,33,results/C4_h1.json
C5_h2,dblp,3,10,insertion,42,500,2,3942.067114,3942,1.000000,1.000,0.999945,1.000,0.100400,395.783539,33,results/C5_h2.json
C6_h3,dblp,3,10,insertion,42,500,2,3540.313939,3540,1.000000,1.000,0.999945,1.000,0.111985,396.461521,33,results/C6_h3.json
C7_hinf,dblp,3,10,insertion,42,500,2,4130.358969,4130,1.000000,1.000,0.999945,1.000,0.095955,396.326718,33,results/C7_hinf.json
D1,dblp,3,10,deletion,42,500,2,1.427013,1,0.543979,0.544,0.915944,0.916,286.261900,408.499397,33,results/D1.json
D2,dblp,3,10,mixed,42,500,2,5301.333342,5301,0.950413,0.950,0.991491,0.991,0.075988,402.837076,33,results/D2.json
